2023-02-12 10:54:02 |INFO  |SpringContextShutdownHook |ExecutorConfigurationSupport.java:208 |org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor |Shutting down ExecutorService 'applicationTaskExecutor'
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-25 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-21 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-29 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-30 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-23 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:08 |INFO  |http-nio-8120-exec-24 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-4 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-10 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-9 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-1 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-6 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-3 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-7 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-5 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-8 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:09 |INFO  |http-nio-8120-exec-2 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:10 |INFO  |http-nio-8120-exec-17 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
2023-02-12 19:46:10 |INFO  |http-nio-8120-exec-13 |OssFileController.java:83 |com.atguigu.IT.service.oss.comtroller.admin.OssFileController |oss test被调用
